task,level,task_type,metric_primary,value_primary,metric_secondary,value_secondary,n_classes,chance_level,n_train,n_test
anatomical_label,0,classification,balanced_acc,0.5204990152301542,accuracy,0.5235803657362849,50.0,0.02,1709,3117
gender,0,classification,balanced_acc,0.4984884645982498,accuracy,0.5181264035931986,2.0,0.5,1709,3117
pathology,0,classification,balanced_acc,0.147220659968798,accuracy,0.13602823227462305,9.0,0.1111111111111111,1709,3117
scanner_model,0,classification,balanced_acc,0.10377447470845991,accuracy,0.1347449470644851,13.0,0.07692307692307693,1709,3117
institute,0,classification,balanced_acc,0.17371826297794488,accuracy,0.45203721527109403,7.0,0.14285714285714285,1709,3117
body_region,0,classification,balanced_acc,0.1992455199751977,accuracy,0.3532242540904716,7.0,0.14285714285714285,1709,3117
pathology_location,0,classification,balanced_acc,0.07295440495619354,accuracy,0.09688803336541546,12.0,0.08333333333333333,1709,3117
kvp_bin,0,classification,balanced_acc,0.25517721670100235,accuracy,0.3747192813602823,8.0,0.125,1709,3117
age,0,regression,pearson_r,-0.03780459014445125,r2,-1.2531757504677787,,0.0,1709,3117
kvp,0,regression,pearson_r,0.15233523161963694,r2,-0.501197099472892,,0.0,1709,2591
anatomical_label,1,classification,balanced_acc,0.5160930992428052,accuracy,0.5162014757779917,50.0,0.02,1709,3117
gender,1,classification,balanced_acc,0.5110850206585059,accuracy,0.5434712864934231,2.0,0.5,1709,3117
pathology,1,classification,balanced_acc,0.11535130499257797,accuracy,0.1344241257619506,9.0,0.1111111111111111,1709,3117
scanner_model,1,classification,balanced_acc,0.09715393458854331,accuracy,0.12127045235803657,13.0,0.07692307692307693,1709,3117
institute,1,classification,balanced_acc,0.14992525870177967,accuracy,0.4286172601860764,7.0,0.14285714285714285,1709,3117
body_region,1,classification,balanced_acc,0.18884013196129637,accuracy,0.4068014116137312,7.0,0.14285714285714285,1709,3117
pathology_location,1,classification,balanced_acc,0.08165243643042276,accuracy,0.10330445941610523,12.0,0.08333333333333333,1709,3117
kvp_bin,1,classification,balanced_acc,0.2003025070991617,accuracy,0.3326916907282644,8.0,0.125,1709,3117
age,1,regression,pearson_r,-0.08951246894119574,r2,-1.2257210841427497,,0.0,1709,3117
kvp,1,regression,pearson_r,0.07635703754749193,r2,-0.49577535076469004,,0.0,1709,2591
anatomical_label,2,classification,balanced_acc,0.505859717259247,accuracy,0.50465190888675,50.0,0.02,1709,3117
gender,2,classification,balanced_acc,0.48755100469628143,accuracy,0.5226179018286814,2.0,0.5,1709,3117
pathology,2,classification,balanced_acc,0.1326459471427112,accuracy,0.15046519088867502,9.0,0.1111111111111111,1709,3117
scanner_model,2,classification,balanced_acc,0.11891808429322848,accuracy,0.14469040744305423,13.0,0.07692307692307693,1709,3117
institute,2,classification,balanced_acc,0.1593702441068288,accuracy,0.42829643888354185,7.0,0.14285714285714285,1709,3117
body_region,2,classification,balanced_acc,0.2120962571897325,accuracy,0.42605068976580046,7.0,0.14285714285714285,1709,3117
pathology_location,2,classification,balanced_acc,0.07659546210840891,accuracy,0.1013795316008983,12.0,0.08333333333333333,1709,3117
kvp_bin,2,classification,balanced_acc,0.19710292120262857,accuracy,0.3307667629130574,8.0,0.125,1709,3117
age,2,regression,pearson_r,-0.12004359412229122,r2,-1.2462243150087087,,0.0,1709,3117
kvp,2,regression,pearson_r,0.017765824216746384,r2,-0.6084890857269647,,0.0,1709,2591
